model,accuracy,precision,recall,f1,roc_auc,train_time_s,inference_ms_per_sample,n_params,model_size_mb
LogisticRegression,0.6986167934844951,0.6329870982893284,0.6563723717652143,0.6413285043257677,0.9180304484993956,1312.3883612155914,0.0014941241004309,500000,3.815458297729492
NaiveBayes,0.6729696401942415,0.575453677836489,0.5543552025186711,0.559034220543877,0.8883277180256449,3.647744655609131,0.0013844461298461,500000,7.630056381225586
LinearSVM,0.7158977937521508,0.6281565726425976,0.6346437942457014,0.630751526001788,0.9129016006767556,2681.090404033661,0.0014408258836966,500000,3.815342903137207
RNN_multilayer,0.7034403318930906,0.6339840529270567,0.6438897947722039,0.6369445830142106,0.916821824254478,1971.384669303894,0.0365218302398887,15943621,60.82411003112793
LSTM_multilayer,0.7367481742056361,0.6708058600200134,0.68716872718866,0.6778182161482925,0.934539063290311,2774.7327041625977,0.0342165596949248,17983429,68.6053695678711
GRU_multilayer,0.716923488701105,0.6558935431605036,0.6712513308497222,0.6609101832105987,0.9285551918722592,2164.483473062516,0.0316616278945823,17303493,66.01161003112793
Seq2Seq_NoAttention,0.7174100485603946,0.6561361686622663,0.6716287154480621,0.6611129807954521,0.927311605399478,1703.3922917842865,0.0313898504967763,17599429,67.14244270324707
Seq2Seq_BahdanauAttention,0.7218215883455052,0.6519213802727271,0.6711130712012388,0.6604961077759361,0.9261966508156017,2242.000311851501,0.0342663410712449,17993413,68.64724445343018
Seq2Seq_LuongAttention,0.7150938706840515,0.6553873790435666,0.6762370267878526,0.6622792908769245,0.9286413681346308,1776.0383341312408,0.0334023672668436,17927365,68.3945369720459
BERT_finetuned,0.7516011547432417,0.6970708074607546,0.7158962122006274,0.7034846085878408,0.9445516012401637,39730.91111326218,0.5721356154664162,109486085,417.7354688644409
